"focal_rte","Foraging","excl_dir","dir_core","dir_diff","n_spp","forage_plot"
2001,"ground glean",0.488727944489927,0.5796823,0.0909543555100731,123,"Ground Glean (123)"
2001,"foliage glean",0.594760141561301,0.5796823,-0.0150778415613008,73,"Foliage Glean (73)"
2001,"bark glean",0.592235238907409,0.5796823,-0.0125529389074086,24,"Bark Glean (24)"
2001,"aerial foraging",0.592511788840783,0.5796823,-0.0128294888407827,11,"Aerial Foraging (11)"
2001,"hover/glean",0.581226061515224,0.5796823,-0.00154376151522384,15,"Hover/Glean (15)"
2001,"hawks",0.580022562769676,0.5796823,-0.000340262769675692,25,"Hawks (25)"
2007,"ground glean",0.574131313155937,0.5995199,0.0253885868440631,123,"Ground Glean (123)"
2007,"foliage glean",0.616043358440909,0.5995199,-0.0165234584409091,73,"Foliage Glean (73)"
2007,"bark glean",0.611552374516915,0.5995199,-0.012032474516915,24,"Bark Glean (24)"
2007,"aerial foraging",0.579033477792766,0.5995199,0.020486422207234,11,"Aerial Foraging (11)"
2007,"hover/glean",0.601880284616235,0.5995199,-0.002360384616235,15,"Hover/Glean (15)"
2007,"hawks",0.603580783547059,0.5995199,-0.00406088354705914,25,"Hawks (25)"
2010,"ground glean",0.472089114602901,0.560463,0.0883738853970988,123,"Ground Glean (123)"
2010,"foliage glean",0.600404859484522,0.560463,-0.0399418594845219,73,"Foliage Glean (73)"
2010,"bark glean",0.557802531801698,0.560463,0.00266046819830157,24,"Bark Glean (24)"
2010,"aerial foraging",0.566224069697647,0.560463,-0.00576106969764745,11,"Aerial Foraging (11)"
2010,"hover/glean",0.561452887081402,0.560463,-0.000989887081402019,15,"Hover/Glean (15)"
2010,"hawks",0.566969220103055,0.560463,-0.00650622010305468,25,"Hawks (25)"
2017,"ground glean",0.501390611573074,0.4842505,-0.017140111573074,123,"Ground Glean (123)"
2017,"foliage glean",0.489006291314718,0.4842505,-0.00475579131471809,73,"Foliage Glean (73)"
2017,"bark glean",0.491534265692065,0.4842505,-0.00728376569206474,24,"Bark Glean (24)"
2017,"aerial foraging",0.445706164618438,0.4842505,0.0385443353815623,11,"Aerial Foraging (11)"
2017,"hover/glean",0.491995916349033,0.4842505,-0.00774541634903336,15,"Hover/Glean (15)"
2017,"hawks",0.488324240044046,0.4842505,-0.00407374004404554,25,"Hawks (25)"
2019,"ground glean",0.488252942928081,0.574848,0.0865950570719193,123,"Ground Glean (123)"
2019,"foliage glean",0.589392148605789,0.574848,-0.0145441486057892,73,"Foliage Glean (73)"
2019,"bark glean",0.587867665065893,0.574848,-0.0130196650658935,24,"Bark Glean (24)"
2019,"aerial foraging",0.584454610130475,0.574848,-0.00960661013047492,11,"Aerial Foraging (11)"
2019,"hover/glean",0.577022696600698,0.574848,-0.00217469660069824,15,"Hover/Glean (15)"
2019,"hawks",0.575443028684072,0.574848,-0.000595028684071686,25,"Hawks (25)"
2020,"ground glean",0.526696675699917,0.6025268,0.0758301243000826,123,"Ground Glean (123)"
2020,"foliage glean",0.621729086297786,0.6025268,-0.0192022862977864,73,"Foliage Glean (73)"
2020,"bark glean",0.617066245035925,0.6025268,-0.0145394450359247,24,"Bark Glean (24)"
2020,"aerial foraging",0.604459581546426,0.6025268,-0.00193278154642629,11,"Aerial Foraging (11)"
2020,"hover/glean",0.604080203693625,0.6025268,-0.00155340369362467,15,"Hover/Glean (15)"
2020,"hawks",0.601425991957278,0.6025268,0.00110080804272183,25,"Hawks (25)"
2022,"ground glean",0.52488615562891,0.5990036,0.0741174443710896,123,"Ground Glean (123)"
2022,"foliage glean",0.61903218145165,0.5990036,-0.0200285814516499,73,"Foliage Glean (73)"
2022,"bark glean",0.612084643134775,0.5990036,-0.0130810431347749,24,"Bark Glean (24)"
2022,"aerial foraging",0.600652694620474,0.5990036,-0.0016490946204738,11,"Aerial Foraging (11)"
2022,"hover/glean",0.600203181324747,0.5990036,-0.00119958132474673,15,"Hover/Glean (15)"
2022,"hawks",0.598077349558904,0.5990036,0.000926250441096399,25,"Hawks (25)"
2025,"ground glean",0.521448253504455,0.6078314,0.0863831464955455,123,"Ground Glean (123)"
2025,"foliage glean",0.6255268276613,0.6078314,-0.0176954276613003,73,"Foliage Glean (73)"
2025,"bark glean",0.618375825514046,0.6078314,-0.010544425514046,24,"Bark Glean (24)"
2025,"aerial foraging",0.615038410768415,0.6078314,-0.00720701076841546,11,"Aerial Foraging (11)"
2025,"hover/glean",0.609042203671817,0.6078314,-0.00121080367181747,15,"Hover/Glean (15)"
2025,"hawks",0.608184485133047,0.6078314,-0.000353085133047437,25,"Hawks (25)"
2029,"ground glean",0.504914510350468,0.5774505,0.0725359896495316,123,"Ground Glean (123)"
2029,"foliage glean",0.590434788862768,0.5774505,-0.0129842888627676,73,"Foliage Glean (73)"
2029,"bark glean",0.592684948084279,0.5774505,-0.015234448084279,24,"Bark Glean (24)"
2029,"aerial foraging",0.580046048059196,0.5774505,-0.00259554805919571,11,"Aerial Foraging (11)"
2029,"hover/glean",0.57910232819491,0.5774505,-0.00165182819490994,15,"Hover/Glean (15)"
2029,"hawks",0.577419626299316,0.5774505,3.08737006841087e-05,25,"Hawks (25)"
2035,"ground glean",0.522843998343668,0.5985589,0.0757149016563319,123,"Ground Glean (123)"
2035,"foliage glean",0.616373332882086,0.5985589,-0.0178144328820864,73,"Foliage Glean (73)"
2035,"bark glean",0.611576372837113,0.5985589,-0.0130174728371131,24,"Bark Glean (24)"
2035,"aerial foraging",0.600701234842749,0.5985589,-0.00214233484274928,11,"Aerial Foraging (11)"
2035,"hawks",0.597633533029458,0.5985589,0.00092536697054213,25,"Hawks (25)"
2035,"hover/glean",0.600459200969699,0.5985589,-0.00190030096969851,15,"Hover/Glean (15)"
2036,"ground glean",0.52396280744238,0.6012256,0.0772627925576199,123,"Ground Glean (123)"
2036,"foliage glean",0.620801032828356,0.6012256,-0.0195754328283563,73,"Foliage Glean (73)"
2036,"bark glean",0.615899243147085,0.6012256,-0.0146736431470847,24,"Bark Glean (24)"
2036,"aerial foraging",0.603942671838344,0.6012256,-0.0027170718383438,11,"Aerial Foraging (11)"
2036,"hover/glean",0.602579756255879,0.6012256,-0.00135415625587909,15,"Hover/Glean (15)"
2036,"hawks",0.59949830918465,0.6012256,0.00172729081535017,25,"Hawks (25)"
2043,"ground glean",0.511393757322685,0.5985387,0.0871449426773149,123,"Ground Glean (123)"
2043,"foliage glean",0.615694342000265,0.5985387,-0.0171556420002651,73,"Foliage Glean (73)"
2043,"bark glean",0.609823350734247,0.5985387,-0.011284650734247,24,"Bark Glean (24)"
2043,"aerial foraging",0.606526783243086,0.5985387,-0.00798808324308586,11,"Aerial Foraging (11)"
2043,"hover/glean",0.599789526062653,0.5985387,-0.00125082606265303,15,"Hover/Glean (15)"
2043,"hawks",0.599086128142987,0.5985387,-0.000547428142986695,25,"Hawks (25)"
2045,"ground glean",0.488727944489927,0.5796823,0.0909543555100731,123,"Ground Glean (123)"
2045,"foliage glean",0.594760141561301,0.5796823,-0.0150778415613008,73,"Foliage Glean (73)"
2045,"bark glean",0.592235238907409,0.5796823,-0.0125529389074086,24,"Bark Glean (24)"
2045,"aerial foraging",0.592511788840783,0.5796823,-0.0128294888407827,11,"Aerial Foraging (11)"
2045,"hover/glean",0.581226061515224,0.5796823,-0.00154376151522384,15,"Hover/Glean (15)"
2045,"hawks",0.580022562769676,0.5796823,-0.000340262769675692,25,"Hawks (25)"
2047,"ground glean",0.495908441968145,0.5840343,0.088125858031855,123,"Ground Glean (123)"
2047,"foliage glean",0.598064086550958,0.5840343,-0.0140297865509583,73,"Foliage Glean (73)"
2047,"bark glean",0.596699829229253,0.5840343,-0.0126655292292529,24,"Bark Glean (24)"
2047,"aerial foraging",0.591951231519928,0.5840343,-0.00791693151992834,11,"Aerial Foraging (11)"
2047,"hover/glean",0.587712688116947,0.5840343,-0.00367838811694665,15,"Hover/Glean (15)"
2047,"hawks",0.585349081076208,0.5840343,-0.00131478107620819,25,"Hawks (25)"
2050,"ground glean",0.513970918154293,0.5929405,0.078969581845707,123,"Ground Glean (123)"
2050,"foliage glean",0.609626790034374,0.5929405,-0.0166862900343739,73,"Foliage Glean (73)"
2050,"bark glean",0.604355846524392,0.5929405,-0.0114153465243919,24,"Bark Glean (24)"
2050,"aerial foraging",0.599949877612225,0.5929405,-0.00700937761222464,11,"Aerial Foraging (11)"
2050,"hover/glean",0.594305423548273,0.5929405,-0.00136492354827278,15,"Hover/Glean (15)"
2050,"hawks",0.592309063761486,0.5929405,0.000631436238514138,25,"Hawks (25)"
2052,"ground glean",0.547246180439887,0.6070583,0.0598121195601132,123,"Ground Glean (123)"
2052,"foliage glean",0.623787635505061,0.6070583,-0.0167293355050611,73,"Foliage Glean (73)"
2052,"bark glean",0.621699821032812,0.6070583,-0.0146415210328118,24,"Bark Glean (24)"
2052,"aerial foraging",0.604612803319612,0.6070583,0.00244549668038807,11,"Aerial Foraging (11)"
2052,"hover/glean",0.608566131498737,0.6070583,-0.00150783149873679,15,"Hover/Glean (15)"
2052,"hawks",0.607182500474575,0.6070583,-0.000124200474575176,25,"Hawks (25)"
2053,"ground glean",0.526696675699917,0.6025268,0.0758301243000826,123,"Ground Glean (123)"
2053,"foliage glean",0.621729086297786,0.6025268,-0.0192022862977864,73,"Foliage Glean (73)"
2053,"bark glean",0.617066245035925,0.6025268,-0.0145394450359247,24,"Bark Glean (24)"
2053,"aerial foraging",0.604459581546426,0.6025268,-0.00193278154642629,11,"Aerial Foraging (11)"
2053,"hover/glean",0.604080203693625,0.6025268,-0.00155340369362467,15,"Hover/Glean (15)"
2053,"hawks",0.601425991957278,0.6025268,0.00110080804272183,25,"Hawks (25)"
2054,"ground glean",0.534830502645855,0.5973072,0.0624766973541449,123,"Ground Glean (123)"
2054,"foliage glean",0.611229268199919,0.5973072,-0.0139220681999194,73,"Foliage Glean (73)"
2054,"bark glean",0.611515105837528,0.5973072,-0.0142079058375277,24,"Bark Glean (24)"
2054,"aerial foraging",0.597788477046592,0.5973072,-0.000481277046592066,11,"Aerial Foraging (11)"
2054,"hawks",0.596301791290037,0.5973072,0.00100540870996324,25,"Hawks (25)"
2054,"hover/glean",0.599123045865009,0.5973072,-0.00181584586500905,15,"Hover/Glean (15)"
2057,"ground glean",0.501390611573074,0.4842505,-0.017140111573074,123,"Ground Glean (123)"
2057,"foliage glean",0.489006291314718,0.4842505,-0.00475579131471809,73,"Foliage Glean (73)"
2057,"bark glean",0.491534265692065,0.4842505,-0.00728376569206474,24,"Bark Glean (24)"
2057,"aerial foraging",0.445706164618438,0.4842505,0.0385443353815623,11,"Aerial Foraging (11)"
2057,"hover/glean",0.491995916349033,0.4842505,-0.00774541634903336,15,"Hover/Glean (15)"
2057,"hawks",0.488324240044046,0.4842505,-0.00407374004404554,25,"Hawks (25)"
2060,"ground glean",0.493390521333912,0.5822527,0.088862178666088,123,"Ground Glean (123)"
2060,"foliage glean",0.597288794916344,0.5822527,-0.0150360949163439,73,"Foliage Glean (73)"
2060,"bark glean",0.593408859588803,0.5822527,-0.011156159588803,24,"Bark Glean (24)"
2060,"aerial foraging",0.593021245211606,0.5822527,-0.0107685452116056,11,"Aerial Foraging (11)"
2060,"hover/glean",0.584299975287719,0.5822527,-0.00204727528771909,15,"Hover/Glean (15)"
2060,"hawks",0.583675312476384,0.5822527,-0.00142261247638431,25,"Hawks (25)"
2065,"ground glean",0.511828358502162,0.5952647,0.0834363414978379,123,"Ground Glean (123)"
2065,"foliage glean",0.611639122197863,0.5952647,-0.0163744221978627,73,"Foliage Glean (73)"
2065,"bark glean",0.609061997086931,0.5952647,-0.0137972970869309,24,"Bark Glean (24)"
2065,"aerial foraging",0.600086081682432,0.5952647,-0.00482138168243174,11,"Aerial Foraging (11)"
2065,"hover/glean",0.596263215299267,0.5952647,-0.000998515299266978,15,"Hover/Glean (15)"
2065,"hawks",0.594161063669993,0.5952647,0.00110363633000743,25,"Hawks (25)"
2066,"ground glean",0.514559255300827,0.5958105,0.0812512446991727,123,"Ground Glean (123)"
2066,"foliage glean",0.614512660986696,0.5958105,-0.0187021609866962,73,"Foliage Glean (73)"
2066,"bark glean",0.609878725949981,0.5958105,-0.0140682259499815,24,"Bark Glean (24)"
2066,"aerial foraging",0.601355023310718,0.5958105,-0.00554452331071842,11,"Aerial Foraging (11)"
2066,"hover/glean",0.597264823062938,0.5958105,-0.00145432306293758,15,"Hover/Glean (15)"
2066,"hawks",0.594446831504904,0.5958105,0.00136366849509595,25,"Hawks (25)"
2072,"ground glean",0.575939011818443,0.5969248,0.0209857881815573,123,"Ground Glean (123)"
2072,"foliage glean",0.615327870663897,0.5969248,-0.0184030706638975,73,"Foliage Glean (73)"
2072,"bark glean",0.60740888535519,0.5969248,-0.0104840853551902,24,"Bark Glean (24)"
2072,"aerial foraging",0.573337668780898,0.5969248,0.0235871312191016,11,"Aerial Foraging (11)"
2072,"hover/glean",0.598656328036366,0.5969248,-0.00173152803636623,15,"Hover/Glean (15)"
2072,"hawks",0.602335249553183,0.5969248,-0.00541044955318259,25,"Hawks (25)"
2140,"ground glean",0.531270060939289,0.6002347,0.0689646390607112,123,"Ground Glean (123)"
2140,"foliage glean",0.617872117886447,0.6002347,-0.0176374178864471,73,"Foliage Glean (73)"
2140,"bark glean",0.615932107207844,0.6002347,-0.0156974072078437,24,"Bark Glean (24)"
